Phylum,Average G4 Density (per Mb)
Deinococcota,619.7501784051898
Peploviricota,566.7281469375708
Chlorophyta,518.6361411292771
Candidatus Bipolaricaulota,333.7063249512805
Euglenozoa,284.0589530423473
Cressdnaviricota,234.9956556140271
Dividoviricota,227.59900694289314
Chordata,174.12008722774698
Myxococcota,164.46207459008892
Rhodothermota,144.21539415010545
Gemmatimonadota,143.84318135554483
Mollusca,133.50786467581497
Actinomycetota,131.70132692858866
Basidiomycota,113.08606918334361
Acidobacteriota,108.64212482700955
Candidatus Binatota,107.36320287620275
Candidatus Fervidibacteria,94.76567557146461
Saleviricota,94.21122731328393
Thermomicrobiota,89.10367520383622
Chloroflexota,87.11248746887496
candidate division NC10,85.36595111836661
Preplasmiviricota,84.25692181124184
Armatimonadota,82.20086167609588
Candidatus Verstraetearchaeota,81.91424488718587
Nematomorpha,79.34746595937692
Cyanobacteriota,78.48909443905613
Thermodesulfobacteriota,75.65772109789114
Synergistota,72.36061944503513
Annelida,71.59457377369874
Planctomycetota,68.8177862737065
Candidatus Peregrinibacteria,68.47508766223844
Candidatus Korarchaeota,66.63494172900072
Verrucomicrobiota,63.07453766554126
Cossaviricota,62.30547722634675
Kiritimatiellota,61.705818563469045
Candidatus Tectomicrobia,60.216931353789775
Artverviricota,59.680770125615304
Candidatus Latescibacteria,59.14585605037066
Microsporidia,54.550181611496896
Nitrospirota,53.4714950586684
Heterolobosea,50.61721929929909
Kitrinoviricota,50.38269514191856
Chrysiogenota,49.81706240353523
Ascomycota,49.67231087249282
Streptophyta,49.483121809127304
Candidatus Beckwithbacteria,48.5766100765034
Abditibacteriota,42.21112491453243
Nitrospinota,40.17689023745825
Balneolota,35.396194024237545
Arthropoda,35.14571119720209
